arch,col,bits,kernel,chunks,occ,dur_ms,in_capture_GBps,sol_l1,sol_l2,sol_dram,sol_sm,binding,l1_sec_per_byte,l2_sec_per_byte,l1_peak_sec_ns,l2_peak_sec_ns,pred_GBps,pred_l1_GBps,pred_l2_GBps,pred_paper_GBps,measured_GBps,ratio_meas_over_pred,stall_top1,stall_top2,long_scoreboard_share_pct
h100,fineweb_text,12,onpair_shmem_4tpt_split8read,1,41.8,2.000,500.0,73.4,27.0,23.7,58.2,l1,0.581,0.090,396.0,410.1,682.0,682.0,4572.6,4572.6,791.6,1.16,long_scoreboard=2.30,wait=1.80,22.0
h100,fineweb_text,16,onpair_shmem_4tpt,1,45.8,2.130,469.5,91.1,78.7,18.7,35.1,l1,0.379,0.269,195.8,410.3,516.1,516.1,1525.6,1525.6,540.2,1.05,mio_throttle=5.54,short_scoreboard=5.06,16.3
h100,synthetic_url,12,onpair_shmem_4tpt,1,46.2,0.831,1110.8,95.5,39.8,38.2,42.3,l1,0.159,0.059,185.5,409.9,1168.8,1168.8,6977.4,6977.4,1434.0,1.23,mio_throttle=6.00,long_scoreboard=2.96,18.1
h100,synthetic_url,16,onpair_shmem_4tpt,1,46.2,0.841,1098.4,95.5,39.4,37.8,42.1,l1,0.163,0.059,188.6,409.9,1154.7,1154.7,6959.1,6959.1,1445.8,1.25,mio_throttle=6.04,long_scoreboard=2.96,18.0
h100,tpch-sf10_l_comment,12,onpair_shmem_4tpt,5,44.7,0.017,598.8,84.9,26.9,5.0,33.8,l1,0.287,0.093,242.8,409.4,846.2,846.2,4388.4,4388.4,1117.1,1.32,mio_throttle=5.10,long_scoreboard=3.74,22.6
h100,tpch-sf10_l_comment,16,onpair_shmem_4tpt,1,43.5,1.460,684.9,90.8,76.8,24.0,29.0,l1,0.230,0.189,174.3,410.2,756.5,756.5,2173.2,2173.2,794.7,1.05,mio_throttle=8.47,short_scoreboard=5.64,15.6
h100,tpch-sf10_l_shipinstruct,12,onpair_shmem_4tpt,1,46.3,0.657,1095.4,94.2,41.0,38.7,50.4,l1,0.064,0.061,74.5,410.0,1168.9,1168.9,6745.8,6745.8,1460.6,1.25,mio_throttle=4.13,long_scoreboard=2.83,20.8
h100,tpch-sf10_l_shipinstruct,16,onpair_shmem_4tpt,1,46.3,0.657,1095.2,94.2,41.0,38.7,50.4,l1,0.064,0.061,74.5,410.0,1168.6,1168.6,6746.0,6746.0,1452.6,1.24,mio_throttle=4.13,long_scoreboard=2.83,20.8
h100,tpch-sf10_ps_comment,12,onpair_shmem_4tpt,1,46.0,1.010,978.2,95.6,36.1,34.3,41.8,l1,0.218,0.069,223.6,409.9,1027.3,1027.3,5945.8,5945.8,1278.8,1.24,mio_throttle=5.71,short_scoreboard=3.30,17.8
h100,tpch-sf10_ps_comment,16,onpair_shmem_4tpt,1,44.1,1.280,771.8,90.5,74.0,26.2,29.5,l1,0.196,0.165,167.7,410.2,856.4,856.4,2489.1,2489.1,922.7,1.08,mio_throttle=9.07,short_scoreboard=4.89,15.2
h100,wikipedia_text,12,onpair_shmem_4tpt_split8read,1,42.0,1.480,475.0,73.5,26.2,22.8,58.4,l1,0.601,0.092,389.4,410.2,648.2,648.2,4442.7,4442.7,749.8,1.16,long_scoreboard=2.28,wait=1.80,21.9
h100,wikipedia_text,16,onpair_shmem_4tpt,1,45.8,1.490,471.9,92.0,75.2,18.8,36.0,l1,0.381,0.259,195.8,410.2,514.6,514.6,1586.6,1586.6,562.2,1.09,mio_throttle=5.32,short_scoreboard=4.89,16.5
b300,clickbench_URL,12,onpair_shmem_4tpt_split8read,1,43.5,2.120,471.7,87.6,8.6,8.5,56.0,l1,0.397,0.084,214.3,852.8,539.9,539.9,10115.6,539.9,961.8,1.78,long_scoreboard=2.98,short_scoreboard=1.97,26.3
b300,clickbench_URL,16,onpair_shmem_4tpt,1,42.7,1.750,571.4,95.8,22.0,8.8,36.1,l1,0.209,0.137,125.0,852.8,598.5,598.5,6246.1,598.5,1093.7,1.83,mio_throttle=6.63,short_scoreboard=4.04,14.9
b300,fineweb_text,12,onpair_shmem_4tpt_split8read,1,41.6,2.530,395.3,75.1,7.5,8.0,53.9,l1,0.582,0.093,306.8,852.8,527.2,527.2,9202.0,527.2,912.3,1.73,long_scoreboard=2.73,short_scoreboard=1.82,24.2
b300,fineweb_text,16,onpair_shmem_4tpt,1,45.8,2.775,360.4,91.2,30.4,6.1,33.7,l1,0.379,0.276,150.2,852.8,395.9,395.9,3087.8,395.9,716.1,1.81,mio_throttle=6.55,short_scoreboard=5.19,13.9
b300,synthetic_url,12,onpair_shmem_4tpt,1,45.9,1.100,839.6,94.9,11.1,12.2,39.5,l1,0.161,0.061,143.0,852.7,889.6,889.6,14065.9,889.6,1689.4,1.90,mio_throttle=7.76,short_scoreboard=2.67,13.5
b300,synthetic_url,16,onpair_shmem_4tpt,1,45.8,1.090,847.3,94.9,11.2,12.3,39.4,l1,0.160,0.060,143.7,852.7,897.0,897.0,14106.4,897.0,1654.6,1.84,mio_throttle=7.76,short_scoreboard=2.68,13.5
b300,tpch-sf10_l_comment,12,onpair_shmem_4tpt,5,43.6,0.024,418.9,85.4,10.1,1.5,29.8,l1,0.287,0.099,187.0,849.9,651.9,651.9,8578.3,651.9,1260.3,1.93,mio_throttle=6.11,short_scoreboard=2.97,14.9
b300,tpch-sf10_l_comment,16,onpair_shmem_4tpt,1,40.9,1.810,552.5,94.2,31.9,8.2,28.6,l1,0.230,0.191,135.5,852.8,588.7,588.7,4472.1,588.7,1066.4,1.81,mio_throttle=9.57,short_scoreboard=5.08,11.6
b300,tpch-sf10_l_shipinstruct,12,onpair_shmem_4tpt,1,46.3,0.862,835.3,93.6,11.2,12.3,47.0,l1,0.064,0.063,57.2,852.8,898.4,898.4,13587.4,898.4,1672.7,1.86,mio_throttle=5.90,long_scoreboard=2.27,15.0
b300,tpch-sf10_l_shipinstruct,16,onpair_shmem_4tpt,1,46.3,0.864,833.3,93.6,11.2,12.3,46.9,l1,0.064,0.063,57.1,852.8,895.5,895.5,13587.3,895.5,1663.0,1.86,mio_throttle=5.91,long_scoreboard=2.27,15.0
b300,tpch-sf10_ps_comment,12,onpair_shmem_4tpt,1,45.8,1.340,737.3,94.1,12.3,10.9,38.8,l1,0.219,0.072,172.5,852.8,787.0,787.0,11876.0,787.0,1447.3,1.84,mio_throttle=7.67,short_scoreboard=3.22,12.7
b300,tpch-sf10_ps_comment,16,onpair_shmem_4tpt,1,40.9,1.590,621.3,94.2,31.2,8.9,28.2,l1,0.196,0.168,129.8,852.8,662.5,662.5,5081.6,662.5,1198.1,1.81,mio_throttle=10.09,short_scoreboard=5.14,10.7
b300,wikipedia_text,12,onpair_shmem_4tpt_split8read,1,41.7,1.860,378.0,75.2,7.3,7.7,54.3,l1,0.597,0.095,300.9,852.8,504.3,504.3,8988.7,504.3,871.2,1.73,long_scoreboard=2.71,short_scoreboard=1.79,24.2
b300,wikipedia_text,16,onpair_shmem_4tpt,1,45.7,1.940,362.4,92.1,29.4,6.0,34.5,l1,0.381,0.267,150.3,852.8,394.6,394.6,3193.2,394.6,708.7,1.80,mio_throttle=6.28,short_scoreboard=5.01,13.8
